"2022-06-04 19:00:51,058",1615.752,2,2,1,0.5236,0.0896,0.5085,0.0975
"2022-06-04 21:49:56,868",10145.784,25,0,9,0.8501,0.0203,0.8224,0.0260
"2022-06-04 21:58:38,747",521.860,0,2,1,0.6023,0.0791,0.6378,0.0943
"2022-06-04 22:01:36,845",178.080,0,1,1,0.5032,0.1449,0.5369,0.1309
"2022-06-04 22:05:01,356",204.480,0,1,1,0.7944,0.0502,0.8224,0.0432
"2022-06-04 23:01:55,110",3413.732,8,2,1,0.8142,0.0128,0.7216,1.6837
"2022-06-04 23:04:51,397",176.270,1,0,1,0.8006,0.1112,0.7457,0.0570
"2022-06-05 00:53:25,878",6514.463,11,7,1,0.5548,0.1004,0.5284,0.1145
"2022-06-05 01:42:33,933",2948.033,8,0,1,0.8051,0.0555,0.7301,0.0797
"2022-06-05 02:28:15,029",2741.074,7,0,1,0.6025,0.1018,0.5085,0.1357
"2022-06-05 02:31:12,157",177.110,0,1,1,0.8031,0.0633,0.7614,0.0618
"2022-06-05 03:59:32,057",5299.884,14,0,9,0.8189,0.0436,0.7756,0.0590
"2022-06-05 04:21:51,715",1339.641,4,0,1,0.6241,0.1546,0.5625,0.1460
"2022-06-05 04:24:49,058",177.320,0,1,1,0.5123,0.1160,0.6605,0.0728
"2022-06-05 05:14:30,479",2981.403,7,1,1,0.8053,0.0450,0.7173,0.1755
"2022-06-05 07:00:59,330",6388.833,14,4,1,0.8123,0.0366,0.7741,0.0592
"2022-06-05 07:53:45,346",3166.002,3,6,1,0.5100,0.1438,0.5312,0.1617
"2022-06-05 09:53:18,908",7173.544,18,0,9,0.8391,0.0270,0.8849,0.0253
"2022-06-05 11:24:00,457",5441.534,14,0,9,0.8278,0.0171,0.8139,0.1604
"2022-06-05 11:26:57,973",177.500,0,1,1,0.8102,0.0468,0.7614,0.1649
