x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,y
3.08,55881,55945,56481,58765,7590.95,1649.13,29.83,16024,1848.99,1814.8,235105,1.7,2,482.22,2.61,6.35,1.25,59121
3.09,55945,56481,58765,59965,7586.02,1666.09,30.87,16111.65,1878.32,1832.1,232635,1.7,2,480.18,2.61,6.35,1.25,58743
2.97,56481,58765,59965,59160,7737.75,1703.22,32.6,16108.4,1954.5,1880.7,217660,2,1.9,479.47,2.61,6.34,1.26,57459
3.01,58765,59965,59160,59152.5,8126.47,1744.54,33.84,16907,2101.18,2011.55,215705,2,1.9,473.2,2.61,6.33,1.29,52508
2.9,59965,59160,59152.5,59121,8294.6,1768.32,34.53,17934.55,2132.2,2080.25,216605,2,1.9,469.8,2.6,6.31,1.3,55964
3.01,59160,59152.5,59121,58743,8192.15,1765.18,34.13,18201.9,2068.6,2066.9,220050,2,1.9,471.88,2.6,6.3,1.29,55616
2.9,59152.5,59121,58743,57459,8300.4,1779.67,34.64,18479,2084.55,2052.6,223435,2.2,1.7,472.56,2.6,6.31,1.29,56040
2.93,59121,58743,57459,52508,8171.95,1764.47,33.83,17633.8,2003.75,1945.81,219557.5,2.2,1.7,473.84,2.59,6.29,1.29,56197
2.78,58743,57459,52508,55964,8132.3,1738.87,32.72,17026.1,1952.5,1868.55,218700,2.2,1.7,471.81,2.58,6.25,1.3,57137
2.65,57459,52508,55964,55616,7844.75,1711.26,31.97,16231.3,1915.2,1805.65,221175,2.2,1.7,479.36,2.58,6.25,1.3,57357
2.66,52508,55964,55616,56040,7733.3,1705.74,31.77,16041.4,1889.2,1822.65,240665,2.04,1.82,480.85,2.6,6.24,1.29,56990
2.64,55964,55616,56040,56197,7626.2,1715.95,31.96,15969,1894.25,1863.3,245085,1.8,2,479.84,2.61,6.25,1.28,56580
2.68,55616,56040,56197,57137,7633.3,1721.57,32.48,15984.3,1948.05,1912.45,252535,1.8,2,482.78,2.6,6.23,1.27,57222.5
2.74,56040,56197,57137,57357,7739.75,1733.18,33.38,16532,1941.5,1912.55,252510,1.8,2,478.82,2.6,6.23,1.29,57657
2.74,56197,57137,57357,56990,7832.8,1730.02,33.9,16954.9,2027.65,1989.2,249325,1.8,2,480.26,2.58,6.23,1.3,57563
2.65,57137,57357,56990,56580,8008.65,1702.05,33.08,17335.9,2098.65,2006.8,251645,1.7,2.5,479.03,2.58,6.23,1.3,57922
2.62,57357,56990,56580,57222.5,8076.8,1705.29,32.89,17705.1,2129.15,2059.38,266530,1.7,2.5,474.61,2.57,6.25,1.31,58317
2.72,56990,56580,57222.5,57657,7896.4,1668.04,30.96,17545.6,2070.4,2050.85,305670,1.7,2.5,474.65,2.56,6.23,1.32,58928
2.79,56580,57222.5,57657,57563,7845.5,1659.01,29.97,17208,2040.45,2049,317750,1.7,2.5,478.9,2.55,6.23,1.32,58822.5
2.78,57222.5,57657,57563,57922,8065.45,1671.13,30.39,17340.6,2072.42,2060.8,320210,1.62,2.1,475.22,2.55,6.23,1.31,57930
2.78,57657,57563,57922,58317,8046,1660.16,30.42,17352.5,2048.82,1992.85,326570,1.6,2,470.92,2.55,6.22,1.32,56986
2.75,57563,57922,58317,58928,7981.85,1679.47,31.47,17399.1,2011.3,1980.35,340715,1.6,2,473.3,2.54,6.22,1.33,56433
2.84,57922,58317,58928,58822.5,8052.95,1678.62,31.83,17357.8,2026.75,2051.45,344130,1.6,2,470.53,2.55,6.22,1.34,56757
3.01,58317,58928,58822.5,57930,8131.55,1665.06,31.49,18100.5,2048.75,2109.6,366385,1.68,2.24,471.35,2.57,6.22,1.36,55769
3.03,58928,58822.5,57930,56986,8226.25,1672.42,31.64,18382.7,2069.23,2155.15,386895,2,3.2,472.3,2.58,6.23,1.35,55765
3.07,58822.5,57930,56986,56433,8186.35,1637.2,30.58,18239.1,2096.75,2166.2,399870,2,3.2,470.94,2.57,6.23,1.34,54696
3.09,57930,56986,56433,56757,7926.4,1587.07,29.03,17140.3,2049.15,2104.85,414620,2,3.2,472.49,2.58,6.24,1.33,55284
3.03,56986,56433,56757,55769,7788.4,1591.64,28.87,16594.1,1968.1,2056.9,443785,1.9,2.98,473.09,2.59,6.23,1.31,52404
3.14,56433,56757,55769,55765,7707.65,1577.9,28.81,16555.2,1926.2,1967.9,479955,1.5,2.1,472.58,2.6,6.22,1.3,51010
3.15,56757,55769,55765,54696,7756.15,1588.55,28.9,16933.9,1926.78,1943.05,520005,1.5,2.1,471.13,2.59,6.21,1.3,51246
